id	filename	md5	size	state
51a41e15-b4aa-414d-97df-5ea3b2311a8f	62189a0b-074f-444b-803c-ab89947dbc5e.rna_seq.augmented_star_gene_counts.tsv	571581fdd17f8fef4cd21499bc4e1286	4239731	released
ca6e88bc-2456-4987-beb0-d3700e7e71dc	d36ef1a3-11a8-457b-9f19-e4492fda83b0.rna_seq.augmented_star_gene_counts.tsv	28c450c5983f11fa0e80b4560882bad8	4239340	released
7a47ff36-fa81-4b90-b88c-93f67128570e	117bc3d7-7aa7-496a-a462-36023e2430e6.rna_seq.augmented_star_gene_counts.tsv	7d018db2060bf4daa1d920e6cbd1d6b4	4240117	released
b1f22228-9e1b-42a3-8f60-ff0e60b4612b	a9fe3f7c-f91d-4c96-b8a7-b8a78afa2308.rna_seq.augmented_star_gene_counts.tsv	c23f0f89e8944927aae801fb72e1572e	4215599	released
d0856e8b-4552-4127-b410-4e3ef58d057c	e310ccc2-eacd-46b4-9411-863fa5f3a3da.rna_seq.augmented_star_gene_counts.tsv	884d96e2d5b458fcfecf5b36f472ebfd	4220573	released
5cd79afa-f5de-4f1a-aa52-d9c7a63c67c8	ccb07e32-2fd5-45ee-aa7d-a02717a7e6b5.rna_seq.augmented_star_gene_counts.tsv	6d0d8d0c3cde138f202f7d4431a9cd7a	4238648	released
e3eb9c78-ef7a-4f68-8786-e76f5803846b	43e174bb-c161-4eb9-8643-de690413a7a4.rna_seq.augmented_star_gene_counts.tsv	59fb40588ba6d98cd66084df871c033e	4252046	released
2279f129-d06d-43f7-9f16-6e8d3a4feb56	b803c7d7-1cf2-4d79-bdb7-bfd308ae6a2d.rna_seq.augmented_star_gene_counts.tsv	aa147ec876d84987e0ed792ddb5ab051	4226509	released
ac7d309a-ae43-4906-9be1-9c09d3de5427	7d6f2225-d871-4170-81f8-3c159c1f3d22.rna_seq.augmented_star_gene_counts.tsv	f5a641a51a79ad8ac811fd9cd5fabf58	4223223	released
6f920efc-b660-43cc-b969-8d445c252004	b3f3bcd1-f02f-4d3d-849c-41575b87b4f7.rna_seq.augmented_star_gene_counts.tsv	ffbf1803182e21ca3b179e7f63405b59	4224646	released
c5d03736-e541-4e69-bac1-91560edbac0e	0173044f-b8b3-4938-9fd4-ebb9356541fa.rna_seq.augmented_star_gene_counts.tsv	debecb3dddbb7068cef91f77179dba2b	4253720	released
93c4cd53-899b-421f-9bf4-360f8010aab4	f318f09f-c4fa-43b0-8060-20cac64e6a29.rna_seq.augmented_star_gene_counts.tsv	38036393e8f5a2058251a546025e3fcd	4221015	released
0d9f45b0-f107-46cf-8683-8d9cbb93a8bf	263c8798-fdcd-489b-b899-e7ac5119cb51.rna_seq.augmented_star_gene_counts.tsv	94b0772ea6ae5db9bbbea48935faf2bb	4242721	released
06ea34ab-c935-429d-a2e8-f264a103138c	0676d3bd-b657-4b69-a77e-9fb257f00a31.rna_seq.augmented_star_gene_counts.tsv	caddf4881e8514ea7ab69718184e88c9	4223349	released
d8a8fb13-b8db-4294-8f50-1f3087020ee9	c90e28bf-85c8-44b6-ac21-2e8f8381a016.rna_seq.augmented_star_gene_counts.tsv	997f065487c604843bdb7841bbeeeb3c	4238222	released
2df2d356-db5d-4c2c-b0e7-8ee7bc25e68c	c3b6e9cc-9c7e-4740-bf0e-022338d82160.rna_seq.augmented_star_gene_counts.tsv	1f6af91ea26a1e21df1a24d9b38498da	4231937	released
2e7e37e4-d854-4c8f-bfdf-ba8ebb63d8c9	269b5e62-5f6c-4a7b-b109-ed4651b77e64.rna_seq.augmented_star_gene_counts.tsv	e7257f755605798edf80bcbab09793ac	4215747	released
