sample,found,gene_id,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,unstranded_count,stranded_first,stranded_second
532690cb-760c-480d-902c-2aaf768d28c5,True,ENSG00000133019.12,1.0884,0.3225,0.3485,178,74,107
e0d8cd2d-967f-4b04-afa9-3aca54bcaf5d,True,ENSG00000133019.12,0.0437,0.0164,0.0165,10,6,4
37657888-bb13-429b-800c-deb8a6bdf27c,True,ENSG00000133019.12,4.7798,2.6783,2.5515,1799,0,1810
ab6d59e0-21c2-4273-b094-3596d1b8b825,True,ENSG00000133019.12,4.8248,1.4711,1.4142,962,494,471
a906629e-77fa-4444-b275-b7ae6074ecec,True,ENSG00000133019.12,5.5637,1.6383,1.6955,872,428,445
8b7acbfc-5614-45dc-99b6-bbcb34dfc32f,True,ENSG00000133019.12,6.0026,1.7069,1.6767,1219,602,619
929473bf-434c-438e-b16c-c34bfb0b98ea,True,ENSG00000133019.12,0.1166,0.0453,0.0516,21,14,7
b7196540-a319-41a0-befd-c363e511ac1d,True,ENSG00000133019.12,0.2643,0.3049,0.2944,154,1,153
2063302d-2b9d-4550-8426-fb64f5ea89d1,True,ENSG00000133019.12,3.4948,1.1949,1.2333,992,528,469
beb3712d-76e3-4c3a-becb-c94048ea8a7f,True,ENSG00000133019.12,0.4594,0.1375,0.1333,81,40,41
b3bec9bc-73c9-41c9-beb2-68a5f06ee2ef,True,ENSG00000133019.12,0.2331,0.071,0.071,19,8,11
00426c02-8fec-4862-92e6-876a81533b9e,True,ENSG00000133019.12,1.1912,0.3201,0.3133,144,66,78
cf92132f-edaf-47dc-9469-69f3cef16737,True,ENSG00000133019.12,2.2387,1.1573,1.0688,794,2,793
b4849657-e1bc-4992-9ace-f69c32b014ee,True,ENSG00000133019.12,0.1517,0.0449,0.0487,46,20,26
d2aee6c3-29d3-44ef-96a5-b0a2d23dcec5,True,ENSG00000133019.12,0.1574,0.0489,0.0475,49,25,24
0d82cb5e-2e4e-4879-9b7e-b929fb590c0a,True,ENSG00000133019.12,1.0281,0.4424,0.3974,306,3,305
69933ac8-e7a7-43b6-8231-2ecb35f88d52,True,ENSG00000133019.12,4.6979,1.2389,1.19,592,328,265
44964e02-9283-4a48-a9e4-006a75d4120e,True,ENSG00000133019.12,0.0686,0.026,0.0271,13,6,7
5c5b5e90-ee6b-42ba-9918-246db0be7756,True,ENSG00000133019.12,0.8341,0.2378,0.2273,163,78,87
7f70c9bb-a18a-45e8-8177-34145a6c0dc9,True,ENSG00000133019.12,3.0253,0.8563,0.9181,699,336,365
5d248c5c-e008-4510-bdef-2417b97c864c,True,ENSG00000133019.12,1.2195,0.5216,0.6964,341,156,187
74c60b29-cbf2-4398-aae0-372561a98682,True,ENSG00000133019.12,0.1567,0.0559,0.0607,37,21,17
e4bb1f41-bf42-43f3-aba5-98f3a02a7e03,True,ENSG00000133019.12,0.3134,0.1277,0.1411,100,58,43
736227d9-3cee-40ed-bdec-0e88968ef179,True,ENSG00000133019.12,0.2044,0.0629,0.0693,29,11,18
6508912f-5f91-43e6-8e63-9233bf3e81eb,True,ENSG00000133019.12,0.019,0.0066,0.0064,5,2,3
7321ea01-8e94-4dfe-b4b6-ab48a3a880f4,True,ENSG00000133019.12,2.6237,1.0326,1.0433,369,181,188
3b8b7b48-4dd6-48c0-b36f-a554b5a2e0a9,True,ENSG00000133019.12,9.7397,2.9006,2.8049,1959,984,982
0dd57486-1eb3-4711-b4ec-8e9de0c4c5a2,True,ENSG00000133019.12,13.6132,4.7291,6.5188,3657,1813,1853
b0595fa6-6c48-4add-b4b7-69c6425bf780,True,ENSG00000133019.12,3.3552,1.0344,0.9372,616,297,320
593e91b8-cbcd-4dbf-95ed-9dce881a430b,True,ENSG00000133019.12,0.8053,0.2585,0.2585,110,61,53
5ad58131-d9d3-4ea3-9d04-18cf480e1480,True,ENSG00000133019.12,8.827,2.7974,2.7163,1694,861,840
aaa72a07-5214-4145-9fb5-99c22b7c248a,True,ENSG00000133019.12,0.1653,0.0473,0.0456,25,13,14
d05a80fc-d08a-47df-b7cd-0172b9977d46,True,ENSG00000133019.12,0.5285,0.196,0.2028,184,94,92
9af0ac1c-2106-413b-bd64-c1d13db34c27,True,ENSG00000133019.12,0.4495,0.1439,0.1268,93,0,93
e065cd2d-aecb-4c38-ae7e-70ec3da7430f,True,ENSG00000133019.12,0.0958,0.032,0.033,20,13,8
90b8a6ce-af5d-48ec-8d64-6642b0882598,True,ENSG00000133019.12,21.227,6.9131,7.5531,1749,66,1766
